縣市 ,測站名稱 ,空氣污染指標 ,指標污染物, 狀態 ,二氧化硫濃度 ,一氧化碳濃度 ,臭氧濃度 ,懸浮微粒濃度 ,細懸浮微粒濃度 ,二氧化氮濃度 ,細懸浮微粒指標 ,氮氧化物 ,一氧化氮 ,發佈時間
南投縣,埔里,25,,良好,2.6,0.5,14,28,15,19,2,20.4,1.36,2017-04-21 20:00
南投縣,竹山,33,,良好,1.2,0.14,14,30,14,6.5,2,7.73,1.28,2017-04-21 21:00
南投縣,南投,32,,良好,2.2,0.2,12,31,11,6.9,2,9.13,2.21,2017-04-21 21:00
南投縣,埔里,25,,良好,3.1,0.43,14,27,13,17,2,17.96,1.44,2017-04-21 21:00
南投縣,竹山,31,,良好,1.2,0.12,14,27,12,6.2,2,7.56,1.32,2017-04-21 22:00
南投縣,南投,32,,良好,2.2,0.19,12,27,12,7.7,2,10,2.28,2017-04-21 22:00
南投縣,埔里,25,,良好,3,0.28,16,25,13,11,2,12.41,1.23,2017-04-21 22:00
南投縣,竹山,29,,良好,1.5,0.17,15,20,10,7.6,2,8.77,1.16,2017-04-21 23:00
南投縣,南投,31,,良好,1.9,0.33,29,27,16,9.7,2,11.48,1.81,2017-04-21 23:00
南投縣,埔里,25,,良好,2.5,0.16,20,22,11,5,2,5.85,.82,2017-04-21 23:00
南投縣,竹山,30,,良好,1.1,0.32,36,21,9,7.3,2,8.23,.96,2017-04-22 00:00
南投縣,南投,32,,良好,1.6,0.45,38,23,11,9.8,2,11.35,1.55,2017-04-22 00:00
南投縣,埔里,24,,良好,1.9,0.19,29,18,9,4.2,2,4.9,.72,2017-04-22 00:00
南投縣,竹山,28,,良好,1.1,0.32,34,19,9,6.8,2,7.87,1.08,2017-04-22 01:00
南投縣,南投,28,,良好,2,0.46,34,21,8,11,2,12.36,1.57,2017-04-22 01:00
南投縣,埔里,25,,良好,0.9,0.22,30,15,9,4.8,1,5.3,.55,2017-04-22 01:00
南投縣,竹山,25,,良好,1.2,0.34,25,22,8,9.4,2,10.07,.71,2017-04-22 02:00
南投縣,南投,26,,良好,2.4,0.46,29,24,11,11,2,12.3,1.31,2017-04-22 02:00
南投縣,埔里,22,,良好,1.8,0.21,26,16,8,4.3,1,4.86,.59,2017-04-22 02:00
南投縣,竹山,25,,良好,1.2,0.33,27,23,11,6,1,6.88,.84,2017-04-22 03:00
南投縣,南投,26,,良好,2,0.46,24,29,11,12,2,13.15,1.31,2017-04-22 03:00
南投縣,埔里,20,,良好,1.3,0.2,24,15,6,4.4,1,4.97,.57,2017-04-22 03:00
南投縣,竹山,26,,良好,1.2,0.41,30,28,18,10,2,12.55,2.24,2017-04-22 04:00
南投縣,南投,30,,良好,2.1,0.34,36,31,14,9.9,2,11.39,1.47,2017-04-22 04:00
南投縣,埔里,19,,良好,1.1,0.2,23,,9,3.9,1,4.71,.79,2017-04-22 04:00
南投縣,竹山,28,,良好,1.2,0.34,34,32,18,8.8,2,10.3,1.55,2017-04-22 05:00
南投縣,南投,34,,良好,1.8,0.23,41,25,13,6.6,2,8.05,1.45,2017-04-22 05:00
